LAST SEEN   TYPE      REASON                  OBJECT                                    MESSAGE
23m         Normal    SuccessfulCreate        job/presit-phase2-application             Created pod: presit-phase2-application-b9j7g
23m         Normal    ScalingReplicaSet       deployment/customers-service              Scaled down replica set customers-service-c8659d44c to 0 from 1
23m         Normal    SuccessfulCreate        job/presit-phase4-e2e-decision            Created pod: presit-phase4-e2e-decision-vctqd
23m         Normal    Killing                 pod/visits-service-698898ff99-nxfbw       Stopping container app
23m         Normal    SuccessfulCreate        job/presit-phase3-integration             Created pod: presit-phase3-integration-qwxwz
23m         Normal    SuccessfulCreate        job/presit-phase1-database                Created pod: presit-phase1-database-rtxg6
23m         Normal    SuccessfulDelete        replicaset/vets-service-867f77fb4c        Deleted pod: vets-service-867f77fb4c-8vkzs
23m         Normal    Killing                 pod/vets-service-867f77fb4c-8vkzs         Stopping container app
23m         Warning   FailedScheduling        pod/presit-phase2-application-b9j7g       running PreBind plugin "VolumeBinding": Operation cannot be fulfilled on persistentvolumeclaims "presit-reports": the object has been modified; please apply your changes to the latest version and try again
23m         Normal    ScalingReplicaSet       deployment/visits-service                 Scaled down replica set visits-service-698898ff99 to 0 from 1
23m         Normal    Killing                 pod/customers-service-c8659d44c-lg8cv     Stopping container app
23m         Normal    WaitForFirstConsumer    persistentvolumeclaim/presit-reports      waiting for first consumer to be created before binding
23m         Normal    ExternalProvisioning    persistentvolumeclaim/presit-reports      Waiting for a volume to be created either by the external provisioner 'rancher.io/local-path' or manually by the system administrator. If volume creation is delayed, please verify that the provisioner is running and correctly registered.
23m         Normal    Provisioning            persistentvolumeclaim/presit-reports      External provisioner is provisioning volume for claim "pre-sit/presit-reports"
23m         Normal    SuccessfulDelete        replicaset/customers-service-c8659d44c    Deleted pod: customers-service-c8659d44c-lg8cv
23m         Normal    ProvisioningSucceeded   persistentvolumeclaim/presit-reports      Successfully provisioned volume pvc-a7c2ecb3-ec51-4f3b-a7be-9727a1667ad9
23m         Normal    Scheduled               pod/presit-phase2-application-b9j7g       Successfully assigned pre-sit/presit-phase2-application-b9j7g to presit-control-plane
23m         Normal    Scheduled               pod/presit-phase3-integration-qwxwz       Successfully assigned pre-sit/presit-phase3-integration-qwxwz to presit-control-plane
23m         Normal    Pulling                 pod/presit-phase4-e2e-decision-vctqd      Pulling image "bitnami/kubectl:latest"
23m         Normal    Pulled                  pod/presit-phase1-database-rtxg6          Container image "busybox:1.36" already present on machine
23m         Normal    Created                 pod/presit-phase1-database-rtxg6          Created container wait-for-db
23m         Normal    Started                 pod/presit-phase1-database-rtxg6          Started container wait-for-db
23m         Normal    Scheduled               pod/presit-phase1-database-rtxg6          Successfully assigned pre-sit/presit-phase1-database-rtxg6 to presit-control-plane
23m         Normal    Scheduled               pod/presit-phase4-e2e-decision-vctqd      Successfully assigned pre-sit/presit-phase4-e2e-decision-vctqd to presit-control-plane
23m         Normal    Pulling                 pod/presit-phase2-application-b9j7g       Pulling image "bitnami/kubectl:latest"
23m         Normal    Pulling                 pod/presit-phase3-integration-qwxwz       Pulling image "bitnami/kubectl:latest"
23m         Normal    Created                 pod/presit-phase2-application-b9j7g       Created container wait-for-phase1
23m         Normal    Pulling                 pod/presit-phase1-database-rtxg6          Pulling image "localhost:5000/presit-bdd-runner:v2.2"
23m         Normal    Started                 pod/presit-phase2-application-b9j7g       Started container wait-for-phase1
23m         Normal    Pulled                  pod/presit-phase2-application-b9j7g       Successfully pulled image "bitnami/kubectl:latest" in 1.524s (1.524s including waiting). Image size: 80196245 bytes.
23m         Normal    Created                 pod/presit-phase4-e2e-decision-vctqd      Created container wait-for-phase3
23m         Normal    Pulled                  pod/presit-phase4-e2e-decision-vctqd      Successfully pulled image "bitnami/kubectl:latest" in 1.54s (2.432s including waiting). Image size: 80196245 bytes.
23m         Normal    Started                 pod/presit-phase4-e2e-decision-vctqd      Started container wait-for-phase3
23m         Normal    Pulled                  pod/presit-phase3-integration-qwxwz       Successfully pulled image "bitnami/kubectl:latest" in 1.397s (3.829s including waiting). Image size: 80196245 bytes.
23m         Normal    Started                 pod/presit-phase3-integration-qwxwz       Started container wait-for-phase2
23m         Normal    Created                 pod/presit-phase3-integration-qwxwz       Created container wait-for-phase2
23m         Normal    Created                 pod/presit-phase1-database-rtxg6          Created container bdd-runner
23m         Normal    Started                 pod/presit-phase1-database-rtxg6          Started container bdd-runner
23m         Normal    Pulled                  pod/presit-phase1-database-rtxg6          Successfully pulled image "localhost:5000/presit-bdd-runner:v2.2" in 571ms (3.314s including waiting). Image size: 262322192 bytes.
23m         Normal    Completed               job/presit-phase1-database                Job completed
23m         Normal    Pulling                 pod/presit-phase2-application-b9j7g       Pulling image "bitnami/kubectl:latest"
23m         Normal    Started                 pod/presit-phase2-application-b9j7g       Started container wait-for-apps
